distribution_id,beneficiary_id,distribution_date,assistance_type,amount,cycle
1,1,5/16/2025,cash,100,2
2,1,6/11/2025,cash,100,3
3,2,4/16/2025,cash,90,1
4,2,5/18/2025,food,110,2
5,2,6/13/2025,food,100,3
6,3,4/20/2025,food,110,1
7,3,5/13/2025,cash,110,2
8,4,4/10/2025,food,90,1
9,4,6/20/2025,food,90,3
10,5,4/16/2025,cash,100,1
11,5,5/17/2025,cash,110,2
12,5,6/19/2025,cash,110,3
13,6,4/18/2025,cash,90,1
14,6,5/11/2025,food,110,2
15,7,5/17/2025,cash,100,2
16,7,6/13/2025,cash,90,3
17,8,4/20/2025,cash,90,1
18,8,5/10/2025,cash,100,2
19,9,4/13/2025,food,110,1
20,9,5/20/2025,cash,110,2
21,9,6/18/2025,food,90,3
22,10,4/15/2025,cash,110,1
23,10,5/19/2025,cash,110,2
24,10,6/16/2025,food,90,3
25,11,4/11/2025,food,90,1
26,11,5/15/2025,cash,110,2
27,12,4/12/2025,food,100,1
28,12,5/10/2025,food,90,2
29,12,6/13/2025,food,100,3
30,13,4/15/2025,cash,110,1
31,13,5/19/2025,cash,90,2
32,13,6/18/2025,food,100,3
33,14,4/14/2025,cash,100,1
34,14,5/12/2025,food,90,2
35,14,6/10/2025,food,100,3
36,15,4/11/2025,food,110,1
37,15,5/20/2025,cash,100,2
38,15,6/16/2025,cash,100,3
39,16,4/13/2025,cash,110,1
40,16,5/12/2025,food,110,2
41,16,6/20/2025,cash,90,3
42,17,4/15/2025,food,110,1
43,17,5/15/2025,food,100,2
44,17,6/14/2025,food,110,3
45,18,5/18/2025,food,90,2
46,18,6/19/2025,cash,110,3
47,19,4/20/2025,cash,110,1
48,19,5/17/2025,food,90,2
49,19,6/13/2025,cash,100,3
50,20,4/19/2025,cash,110,1
51,20,5/12/2025,food,100,2
52,20,6/12/2025,cash,90,3
53,21,4/17/2025,cash,90,1
54,21,5/18/2025,food,110,2
55,21,6/12/2025,food,90,3
56,22,4/13/2025,food,100,1
57,22,5/19/2025,cash,110,2
58,22,6/20/2025,cash,100,3
59,23,4/20/2025,food,100,1
60,23,5/17/2025,food,90,2
61,23,6/11/2025,cash,100,3
62,24,4/18/2025,cash,90,1
