beneficiary_id,name,sex,age,household_size,department,commune,vulnerability_score,registration_date
1,Beneficiary_1,M,43,5,Sud,Les Cayes,47,2/1/2025
2,Beneficiary_2,M,46,9,Ouest,Delmas,80,1/12/2025
3,Beneficiary_3,M,30,1,Sud,Port-Salut,45,1/12/2025
4,Beneficiary_4,M,63,9,Ouest,Delmas,65,1/26/2025
5,Beneficiary_5,F,26,4,Sud,Aquin,60,2/27/2025
6,Beneficiary_6,M,26,3,Sud,Port-Salut,40,3/31/2025
7,Beneficiary_7,F,39,3,Artibonite,Saint-Marc,11,1/28/2025
8,Beneficiary_8,M,3,7,Artibonite,Gonaives,38,1/13/2025
9,Beneficiary_9,F,16,1,Artibonite,Saint-Marc,56,2/28/2025
10,Beneficiary_10,F,18,2,Sud,Les Cayes,21,3/12/2025
11,Beneficiary_11,F,61,4,Artibonite,Dessalines,45,1/9/2025
12,Beneficiary_12,F,36,2,Ouest,Delmas,21,1/30/2025
13,Beneficiary_13,F,25,8,Ouest,Carrefour,52,3/23/2025
14,Beneficiary_14,F,14,6,Artibonite,Gonaives,57,1/27/2025
15,Beneficiary_15,M,24,3,Sud,Port-Salut,44,3/10/2025
16,Beneficiary_16,M,24,8,Sud,Les Cayes,87,2/18/2025
17,Beneficiary_17,M,34,6,Artibonite,Dessalines,28,1/8/2025
18,Beneficiary_18,F,49,7,Ouest,Port-au-Prince,25,2/4/2025
19,Beneficiary_19,F,38,4,Ouest,Delmas,10,3/25/2025
20,Beneficiary_20,F,11,3,Artibonite,Saint-Marc,53,2/3/2025
21,Beneficiary_21,F,48,7,Ouest,Delmas,53,3/16/2025
22,Beneficiary_22,M,32,3,Artibonite,Saint-Marc,43,3/7/2025
23,Beneficiary_23,M,8,2,Artibonite,Gonaives,35,1/20/2025
24,Beneficiary_24,F,26,2,Sud,Les Cayes,71,2/19/2025
25,Beneficiary_25,F,41,9,Artibonite,Dessalines,14,2/2/2025
26,Beneficiary_26,M,40,9,Sud,Les Cayes,42,2/4/2025
27,Beneficiary_27,M,22,5,Sud,Port-Salut,62,2/25/2025
28,Beneficiary_28,M,53,5,Ouest,Carrefour,68,3/6/2025
29,Beneficiary_29,F,19,9,Ouest,Port-au-Prince,43,3/19/2025
30,Beneficiary_30,F,40,3,Ouest,Delmas,69,3/11/2025
31,Beneficiary_31,F,26,8,Sud,Les Cayes,46,1/3/2025
32,Beneficiary_32,F,15,4,Ouest,Tabarre,26,1/8/2025
33,Beneficiary_33,M,49,8,Ouest,Port-au-Prince,77,1/9/2025
34,Beneficiary_34,M,33,8,Sud,Les Cayes,70,3/12/2025
35,Beneficiary_35,F,41,4,Ouest,Tabarre,37,3/11/2025
36,Beneficiary_36,M,41,5,Sud,Aquin,80,2/21/2025
37,Beneficiary_37,F,34,8,Sud,Aquin,81,3/8/2025
38,Beneficiary_38,M,0,4,Artibonite,Gonaives,66,1/9/2025
39,Beneficiary_39,M,36,4,Artibonite,Gonaives,44,1/1/2025
40,Beneficiary_40,M,36,2,Ouest,Port-au-Prince,10,1/5/2025
41,Beneficiary_41,M,31,5,Artibonite,Gonaives,57,3/27/2025
42,Beneficiary_42,M,61,8,Artibonite,Gonaives,39,2/1/2025
43,Beneficiary_43,M,20,2,Artibonite,Saint-Marc,39,1/13/2025
44,Beneficiary_44,F,51,7,Sud,Port-Salut,56,2/22/2025
45,Beneficiary_45,M,25,2,Artibonite,Dessalines,60,1/8/2025
46,Beneficiary_46,F,36,2,Artibonite,Dessalines,69,2/1/2025
47,Beneficiary_47,F,22,3,Ouest,Delmas,43,2/24/2025
48,Beneficiary_48,F,27,4,Ouest,Tabarre,20,1/10/2025
49,Beneficiary_49,M,40,1,Artibonite,Dessalines,55,3/25/2025
50,Beneficiary_50,M,35,4,Sud,Les Cayes,45,1/22/2025
51,Beneficiary_51,F,9,4,Artibonite,Saint-Marc,41,2/21/2025
52,Beneficiary_52,F,28,1,Ouest,Delmas,33,2/19/2025
53,Beneficiary_53,F,32,7,Artibonite,Saint-Marc,58,3/31/2025
54,Beneficiary_54,F,68,3,Sud,Aquin,53,1/25/2025
55,Beneficiary_55,M,39,9,Artibonite,Gonaives,48,1/8/2025
56,Beneficiary_56,M,0,1,Sud,Port-Salut,49,3/16/2025
57,Beneficiary_57,M,36,1,Artibonite,Dessalines,99,3/7/2025
58,Beneficiary_58,M,31,2,Ouest,Delmas,56,3/28/2025
59,Beneficiary_59,M,34,4,Ouest,Carrefour,26,3/16/2025
60,Beneficiary_60,M,55,7,Sud,Les Cayes,65,3/26/2025
61,Beneficiary_61,F,49,5,Sud,Aquin,31,1/27/2025
62,Beneficiary_62,F,60,4,Sud,Aquin,21,2/3/2025
63,Beneficiary_63,F,45,8,Artibonite,Gonaives,93,2/10/2025
64,Beneficiary_64,F,17,2,Ouest,Port-au-Prince,38,1/10/2025
65,Beneficiary_65,F,36,3,Sud,Les Cayes,39,2/14/2025
66,Beneficiary_66,F,7,5,Ouest,Delmas,51,1/21/2025
67,Beneficiary_67,F,15,9,Artibonite,Dessalines,59,1/2/2025
68,Beneficiary_68,F,18,2,Sud,Aquin,80,1/18/2025
69,Beneficiary_69,M,20,9,Artibonite,Gonaives,43,1/20/2025
70,Beneficiary_70,M,49,6,Artibonite,Saint-Marc,25,1/27/2025
71,Beneficiary_71,F,39,9,Sud,Aquin,76,3/4/2025
72,Beneficiary_72,M,6,7,Artibonite,Gonaives,53,2/5/2025
73,Beneficiary_73,F,39,3,Ouest,Port-au-Prince,65,3/23/2025
74,Beneficiary_74,F,12,9,Artibonite,Gonaives,23,2/24/2025
75,Beneficiary_75,M,44,2,Sud,Les Cayes,55,3/30/2025
76,Beneficiary_76,F,39,9,Ouest,Port-au-Prince,56,1/19/2025
77,Beneficiary_77,M,22,5,Artibonite,Gonaives,54,2/16/2025
78,Beneficiary_78,M,40,4,Ouest,Tabarre,35,3/27/2025
79,Beneficiary_79,F,68,3,Ouest,Tabarre,59,1/31/2025
80,Beneficiary_80,F,13,1,Ouest,Delmas,63,1/23/2025
81,Beneficiary_81,F,17,4,Sud,Port-Salut,65,2/4/2025
82,Beneficiary_82,F,55,1,Ouest,Port-au-Prince,33,3/2/2025
83,Beneficiary_83,F,52,6,Ouest,Delmas,58,2/9/2025
84,Beneficiary_84,M,49,4,Ouest,Delmas,87,2/21/2025
85,Beneficiary_85,M,30,5,Artibonite,Saint-Marc,34,2/14/2025
86,Beneficiary_86,F,18,9,Sud,Aquin,33,2/12/2025
87,Beneficiary_87,F,33,3,Ouest,Port-au-Prince,56,3/16/2025
88,Beneficiary_88,M,39,7,Artibonite,Gonaives,66,2/14/2025
89,Beneficiary_89,F,35,9,Sud,Port-Salut,79,1/15/2025
90,Beneficiary_90,M,30,5,Artibonite,Dessalines,100,1/6/2025
91,Beneficiary_91,M,46,9,Sud,Port-Salut,32,3/10/2025
92,Beneficiary_92,M,15,6,Sud,Aquin,59,2/25/2025
93,Beneficiary_93,F,30,2,Ouest,Tabarre,64,2/8/2025
94,Beneficiary_94,F,43,6,Sud,Port-Salut,48,2/21/2025
95,Beneficiary_95,M,19,4,Sud,Port-Salut,19,2/23/2025
96,Beneficiary_96,M,26,5,Sud,Port-Salut,67,2/21/2025
97,Beneficiary_97,F,38,5,Sud,Les Cayes,25,1/27/2025
98,Beneficiary_98,F,38,8,Artibonite,Dessalines,57,2/26/2025
99,Beneficiary_99,M,19,9,Artibonite,Dessalines,53,3/2/2025
100,Beneficiary_100,M,36,5,Sud,Les Cayes,27,3/7/2025
