complaint_id,beneficiary_id,complaint_type,channel,status,resolution_days
1,451,exclusion,hotline,resolved,2
2,1189,corruption,helpdesk,open,
3,323,corruption,hotline,resolved,20
4,1008,delay,hotline,resolved,23
5,897,staff_behavior,helpdesk,resolved,19
6,556,corruption,community,resolved,13
7,1269,delay,hotline,resolved,7
8,1069,corruption,hotline,resolved,13
9,690,delay,community,open,
10,828,corruption,hotline,open,
11,512,corruption,helpdesk,open,
12,80,staff_behavior,helpdesk,resolved,24
13,1748,corruption,helpdesk,resolved,4
14,162,exclusion,helpdesk,resolved,17
15,210,corruption,community,resolved,28
16,1808,exclusion,helpdesk,resolved,11
17,825,exclusion,hotline,resolved,23
18,446,delay,helpdesk,resolved,16
19,996,staff_behavior,hotline,resolved,2
20,853,corruption,helpdesk,open,
21,801,delay,helpdesk,resolved,27
22,621,corruption,hotline,open,
23,1637,corruption,helpdesk,resolved,23
24,1100,corruption,community,resolved,13
25,145,staff_behavior,hotline,open,
26,947,delay,hotline,open,
27,464,exclusion,community,resolved,27
28,65,staff_behavior,community,resolved,13
29,1203,delay,hotline,resolved,30
30,1238,staff_behavior,hotline,resolved,22
31,785,delay,helpdesk,open,
32,1907,exclusion,hotline,resolved,3
33,1669,corruption,community,resolved,26
34,646,corruption,helpdesk,resolved,13
35,1488,corruption,helpdesk,resolved,18
36,130,delay,hotline,resolved,8
37,576,exclusion,community,open,
38,213,exclusion,helpdesk,open,
39,20,exclusion,community,resolved,11
40,1442,delay,community,open,
41,238,exclusion,helpdesk,resolved,19
42,639,delay,helpdesk,resolved,17
43,3,exclusion,helpdesk,resolved,9
44,929,staff_behavior,community,open,
45,436,corruption,hotline,open,
46,538,staff_behavior,helpdesk,resolved,12
47,645,corruption,helpdesk,resolved,25
48,672,delay,hotline,resolved,16
49,932,corruption,hotline,resolved,1
50,1757,delay,helpdesk,resolved,15
51,1267,staff_behavior,hotline,resolved,20
52,1238,exclusion,community,resolved,8
53,469,delay,hotline,resolved,20
54,381,delay,hotline,resolved,13
55,9,corruption,hotline,resolved,1
56,874,delay,hotline,resolved,15
57,1926,exclusion,helpdesk,open,
58,1002,corruption,hotline,resolved,13
59,1404,exclusion,community,resolved,3
60,1235,delay,helpdesk,resolved,11
61,1612,delay,hotline,open,
62,812,delay,hotline,open,
63,126,delay,community,open,
64,820,staff_behavior,community,resolved,10
65,1303,delay,community,resolved,17
66,517,exclusion,community,resolved,15
67,505,exclusion,hotline,resolved,4
68,1887,staff_behavior,hotline,resolved,26
69,1544,staff_behavior,hotline,open,
70,1340,delay,community,resolved,19
71,405,exclusion,helpdesk,resolved,27
72,1081,exclusion,helpdesk,open,
73,219,staff_behavior,hotline,resolved,25
74,75,exclusion,hotline,open,
75,1889,delay,helpdesk,open,
76,177,delay,helpdesk,resolved,26
77,1740,delay,hotline,resolved,15
78,476,delay,community,open,
79,1157,delay,helpdesk,resolved,23
80,1926,exclusion,helpdesk,open,
81,1590,corruption,community,resolved,27
82,480,exclusion,hotline,resolved,30
83,638,corruption,helpdesk,resolved,26
84,1284,corruption,community,resolved,12
85,791,staff_behavior,community,resolved,24
86,1703,staff_behavior,hotline,resolved,4
87,1970,staff_behavior,community,resolved,10
88,1870,staff_behavior,community,open,
89,1481,corruption,community,open,
90,1663,staff_behavior,helpdesk,resolved,12
